epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.74,0.63528,1.47044,1.04371,0.87917,0.76999,0.87773,0.77042,0.46358,0.94155,0.97996,0.000475351,0.000475351,0.000475351
2,642.054,0.49606,0.89906,0.9623,0.84166,0.85998,0.90545,0.78348,0.42448,0.74109,0.93383,0.000913998,0.000913998,0.000913998
3,788.347,0.45774,0.80458,0.9459,0.87313,0.79785,0.89481,0.78375,0.43911,0.80809,0.94919,0.00131492,0.00131492,0.00131492
4,899.041,0.42861,0.7408,0.93358,0.89314,0.88272,0.93055,0.85382,0.3431,0.69321,0.90666,0.00125923,0.00125923,0.00125923
5,1008.98,0.39444,0.69609,0.92225,0.86288,0.80917,0.90822,0.81513,0.36643,0.70842,0.92918,0.00120265,0.00120265,0.00120265
6,1117.82,0.37806,0.67248,0.91846,0.87586,0.89878,0.93573,0.88087,0.30504,0.59045,0.88052,0.00114606,0.00114606,0.00114606
7,1227.38,0.35478,0.64409,0.90869,0.89669,0.82142,0.91911,0.84275,0.34839,0.68437,0.90963,0.00108947,0.00108947,0.00108947
8,1337.19,0.34489,0.62399,0.90771,0.85531,0.84927,0.90504,0.766,0.36005,0.65631,0.92134,0.00103288,0.00103288,0.00103288
9,1444.73,0.33,0.60035,0.90102,0.92731,0.9086,0.96099,0.9181,0.25281,0.49032,0.8644,0.000976293,0.000976293,0.000976293
10,1552.08,0.3208,0.5872,0.89935,0.90114,0.80869,0.91321,0.77841,0.34081,0.67473,0.92841,0.000919704,0.000919704,0.000919704
11,1665.04,0.31114,0.57767,0.89405,0.92965,0.92108,0.96089,0.91261,0.25245,0.47555,0.86468,0.000863116,0.000863116,0.000863116
12,1780.64,0.29901,0.56595,0.88924,0.54226,0.32488,0.39575,0.27929,1.06137,2.40658,1.49527,0.000806528,0.000806528,0.000806528
13,1901.54,0.29488,0.55762,0.88824,0.90739,0.89025,0.94837,0.89293,0.28178,0.52802,0.88279,0.000749939,0.000749939,0.000749939
14,2022.62,0.2855,0.54465,0.88645,0.92949,0.91614,0.96617,0.92484,0.22778,0.46462,0.85452,0.000693351,0.000693351,0.000693351
15,2147.31,0.2794,0.53753,0.88133,0.93604,0.92494,0.96589,0.92917,0.21553,0.42972,0.85899,0.000636762,0.000636762,0.000636762
16,2316.64,0.25227,0.50743,0.84602,0.9286,0.93868,0.96832,0.92997,0.21988,0.44641,0.85872,0.000580174,0.000580174,0.000580174
17,2437.88,0.23722,0.48516,0.83705,0.93043,0.92304,0.96448,0.92384,0.22212,0.43596,0.85665,0.000523586,0.000523586,0.000523586
18,2565.1,0.23198,0.46735,0.83544,0.90893,0.89956,0.95982,0.92303,0.208,0.44565,0.85269,0.000466997,0.000466997,0.000466997
19,2691.13,0.21928,0.45141,0.83063,0.94712,0.93925,0.9714,0.9325,0.20274,0.39408,0.84714,0.000410409,0.000410409,0.000410409
20,2820.43,0.21276,0.43992,0.82824,0.93847,0.92305,0.97062,0.9374,0.19844,0.42052,0.8483,0.00035382,0.00035382,0.00035382
21,2958.01,0.20783,0.4304,0.82531,0.93033,0.9379,0.96772,0.93597,0.19619,0.39879,0.84849,0.000297232,0.000297232,0.000297232
22,3098.81,0.20059,0.41828,0.82252,0.94903,0.91945,0.97131,0.93801,0.19454,0.403,0.84908,0.000240644,0.000240644,0.000240644
23,3235.76,0.19297,0.39891,0.82044,0.9233,0.93924,0.97352,0.94155,0.1902,0.38264,0.84472,0.000184055,0.000184055,0.000184055
24,3369.95,0.18733,0.39287,0.81897,0.95809,0.94169,0.97746,0.95018,0.18094,0.36427,0.84188,0.000127467,0.000127467,0.000127467
25,3501.41,0.18157,0.37442,0.8179,0.95637,0.93911,0.97661,0.94808,0.18162,0.36243,0.84388,7.08784e-05,7.08784e-05,7.08784e-05
