epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.663,0.33141,0.60056,0.86885,0.87297,0.8886,0.93036,0.85746,0.30668,0.58668,0.88505,0.0670341,0.000332989,0.000332989
2,378.412,0.31322,0.56728,0.86261,0.9069,0.89062,0.94723,0.8889,0.3152,0.5138,0.88273,0.0339741,0.000606354,0.000606354
3,535.599,0.3055,0.55194,0.86123,0.87072,0.86943,0.92875,0.84303,0.30367,0.53515,0.88173,0.000854118,0.000819718,0.000819718
4,692.6,0.29474,0.53304,0.85657,0.90609,0.89882,0.95531,0.90593,0.2767,0.47022,0.87867,0.00073,0.00073,0.00073
5,849.756,0.28032,0.51494,0.84924,0.91757,0.92375,0.96236,0.91566,0.24394,0.46529,0.85716,0.00064,0.00064,0.00064
6,1007.07,0.26425,0.49949,0.84274,0.92337,0.89122,0.95849,0.91728,0.23336,0.46644,0.85404,0.00055,0.00055,0.00055
7,1163.73,0.25523,0.4898,0.84089,0.92692,0.91756,0.9652,0.91996,0.2289,0.44491,0.85231,0.00046,0.00046,0.00046
8,1319.75,0.24213,0.46987,0.83614,0.94052,0.92069,0.96876,0.9347,0.21046,0.41831,0.84382,0.00037,0.00037,0.00037
9,1476.58,0.2317,0.45039,0.83399,0.93669,0.93103,0.97194,0.93884,0.21581,0.39617,0.85232,0.00028,0.00028,0.00028
10,1631.31,0.22089,0.43191,0.83007,0.9242,0.92638,0.96805,0.93626,0.20162,0.39785,0.84409,0.00019,0.00019,0.00019
1,76.5759,1.65257,1.88763,1.35911,0.79831,0.28314,0.29237,0.16594,1.4369,2.40928,1.19689,0.0673626,0.00032967,0.00032967
2,108.559,1.44565,1.41355,1.19734,0.33483,0.32085,0.33076,0.20544,1.31661,1.28264,1.10754,0.034303,0.000603333,0.000603333
3,140.734,1.35121,1.27592,1.1424,0.47409,0.37379,0.39869,0.25128,1.2328,1.13657,1.07772,0.0011833,0.000816996,0.000816996
4,173.279,1.28766,1.22022,1.11064,0.41647,0.42797,0.40109,0.25978,1.23788,1.12675,1.0705,0.00073,0.00073,0.00073
5,207.288,1.25746,1.1823,1.08966,0.47376,0.50077,0.44891,0.28768,1.18561,1.05294,1.05584,0.00064,0.00064,0.00064
6,240.169,1.21735,1.10903,1.06214,0.55419,0.4826,0.49923,0.33614,1.16107,0.97425,1.02933,0.00055,0.00055,0.00055
7,272.754,1.18311,1.06746,1.04332,0.57737,0.45046,0.49981,0.33391,1.1456,1.00642,1.01602,0.00046,0.00046,0.00046
8,305.653,1.17092,1.03652,1.03761,0.50426,0.5029,0.50741,0.3415,1.09839,0.91611,1.00864,0.00037,0.00037,0.00037
9,338.405,1.13354,1.01304,1.01651,0.5428,0.52307,0.52717,0.36123,1.06931,0.90813,0.99151,0.00028,0.00028,0.00028
10,371.516,1.1052,0.98308,1.01624,0.51341,0.54347,0.52357,0.36206,1.05666,0.87227,0.98114,0.00019,0.00019,0.00019
1,23.2433,1.51791,2.7904,1.74098,0.65081,0.06843,0.05762,0.01906,2.62198,3.31089,2.71087,0.08218,0.00018,0.00018
2,25.9722,1.14047,1.88886,1.39152,0.58488,0.09167,0.05018,0.02555,2.01055,2.67131,2.05002,0.0633367,0.0003367,0.0003367
3,31.583,1.05508,1.50576,1.29504,0.68013,0.11733,0.1032,0.05792,1.34015,2.77205,1.53135,0.0444592,0.0004592,0.0004592
4,34.758,1.0141,1.35047,1.2528,0.694,0.2,0.15716,0.07749,1.42258,2.67447,1.49578,0.0255475,0.0005475,0.0005475
5,41.5445,0.9937,1.28995,1.23671,0.76987,0.22477,0.20704,0.09472,1.44664,2.12048,1.46525,0.0066016,0.0006016,0.0006016
6,46.5745,0.92678,1.17049,1.16882,0.78321,0.26132,0.2894,0.15356,1.42965,1.78156,1.41849,0.00055,0.00055,0.00055
7,48.4286,0.8919,1.15684,1.19755,0.79377,0.28491,0.47458,0.3231,1.46035,1.72474,1.41437,0.00046,0.00046,0.00046
8,55.1136,0.91904,1.10164,1.18696,0.79809,0.26667,0.63172,0.4636,1.4347,1.76443,1.41068,0.00037,0.00037,0.00037
9,61.8579,0.91517,1.08999,1.17921,0.75389,0.25833,0.62748,0.42339,1.46581,1.87132,1.43902,0.00028,0.00028,0.00028
10,68.6322,0.88746,1.03597,1.1948,0.76034,0.275,0.67739,0.46418,1.44719,1.82986,1.4336,0.00019,0.00019,0.00019
1,22.9617,1.68042,2.99567,1.8809,0.56882,0.09167,0.04155,0.01415,3.16826,3.7837,3.53006,0.09109,9e-05,9e-05
2,24.8495,1.16213,1.99855,1.37175,0.60832,0.04167,0.03456,0.00678,3.27777,3.65312,3.81383,0.0811729,0.0001729,0.0001729
3,33.0802,1.08903,1.601,1.29826,0.67846,0.05,0.06122,0.0108,2.98986,3.2823,3.45795,0.0712378,0.0002378,0.0002378
