epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0107,1.34995,2.60317,1.63617,0.66155,0.08333,0.06901,0.01745,3.15977,4.64867,4.19501,0.09109,9e-05,9e-05
2,13.7517,1.10706,1.67672,1.32264,0.11051,0.05833,0.03489,0.00991,3.1882,3.89603,4.04781,0.0811815,0.00018145,0.00018145
3,16.5605,1.04336,1.40398,1.25898,0.85539,0.16667,0.20436,0.09827,1.68791,2.65623,1.84337,0.0712639,0.0002639,0.0002639
4,20.5447,0.99679,1.25648,1.21959,0.84556,0.23333,0.25624,0.13518,1.61573,2.33875,1.67314,0.0613374,0.00033735,0.00033735
5,23.3227,1.01356,1.14464,1.21136,0.83808,0.21667,0.28518,0.12618,1.71023,2.38523,1.74362,0.0514018,0.0004018,0.0004018
6,26.0073,0.97959,1.07249,1.19781,0.75264,0.19167,0.52665,0.23686,1.67595,2.34904,1.66663,0.0414573,0.00045725,0.00045725
7,28.5976,0.93075,1.03427,1.18292,0.70168,0.15,0.56329,0.32957,1.704,2.46202,1.67452,0.0315037,0.0005037,0.0005037
8,31.2183,0.94655,1.06011,1.1586,0.65973,0.26667,0.54086,0.31363,1.68389,2.31942,1.66255,0.0215412,0.00054115,0.00054115
9,33.8026,0.9388,0.97869,1.16325,0.60613,0.55833,0.70668,0.42555,1.48247,1.9502,1.48631,0.0115696,0.0005696,0.0005696
10,36.5134,0.90313,0.96086,1.15732,0.74712,0.51667,0.67387,0.40582,1.52368,1.86882,1.48954,0.00158905,0.00058905,0.00058905
11,67.9486,0.93418,1.17595,1.21682,0.7303,0.4894,0.67534,0.40278,1.5677,1.8575,1.52516,0.00055,0.00055,0.00055
12,70.6746,0.86744,1.09035,1.1467,0.50105,0.75833,0.63787,0.38543,1.71671,1.95223,1.75704,0.000505,0.000505,0.000505
13,73.2155,0.91218,1.02048,1.16207,0.55043,0.725,0.61983,0.37721,1.73139,2.02978,1.83541,0.00046,0.00046,0.00046
14,75.7858,0.89153,0.96673,1.1456,0.6287,0.72156,0.69415,0.42867,1.52357,1.96545,1.6275,0.000415,0.000415,0.000415
15,78.2927,0.84775,0.94531,1.13454,0.5821,0.73483,0.70739,0.44155,1.46186,1.91548,1.53494,0.00037,0.00037,0.00037
16,80.7764,0.86259,0.9985,1.16864,0.62432,0.74643,0.71662,0.44814,1.4341,1.87643,1.478,0.000325,0.000325,0.000325
17,83.2427,0.84433,0.88012,1.15438,0.62674,0.76667,0.81267,0.52096,1.44981,1.87821,1.47858,0.00028,0.00028,0.00028
18,85.8621,0.85312,0.90699,1.15347,0.59986,0.75833,0.79827,0.47535,1.52261,1.88581,1.53035,0.000235,0.000235,0.000235
19,88.3315,0.77719,0.8322,1.12223,0.66693,0.6779,0.79339,0.51184,1.54976,1.87989,1.55279,0.00019,0.00019,0.00019
20,90.8607,0.84267,0.84442,1.11463,0.66596,0.71139,0.7927,0.51544,1.54519,1.86759,1.54239,0.000145,0.000145,0.000145
